"","Cebpa","EKLF","EgrNab","Fli1","Fog1","Gata1","Gata2","Gfi1","Pu.1","Scl","cJun"
"c0",false,false,false,false,false,true,true,false,false,true,false
"c1",false,false,false,false,false,true,true,false,false,true,true
"c2",false,false,false,false,false,true,true,true,false,true,false
"c3",false,false,false,false,false,true,true,true,false,true,true
"c4",false,false,false,false,true,true,false,false,false,false,false
"c5",false,false,false,false,true,true,false,false,false,false,true
"c6",false,false,false,false,true,true,false,false,false,true,false
"c7",false,false,false,false,true,true,false,false,false,true,true
"c8",false,false,false,false,true,true,false,true,false,false,false
"c9",false,false,false,false,true,true,false,true,false,false,true
"c10",false,false,false,false,true,true,false,true,false,true,false
"c11",false,false,false,false,true,true,false,true,false,true,true
"c12",false,false,false,false,true,true,true,false,false,false,false
"c13",false,false,false,false,true,true,true,false,false,false,true
"c14",false,false,false,false,true,true,true,false,false,true,false
"c15",false,false,false,false,true,true,true,false,false,true,true
"c16",false,false,false,false,true,true,true,true,false,false,false
"c17",false,false,false,false,true,true,true,true,false,false,true
"c18",false,false,false,false,true,true,true,true,false,true,false
"c19",false,false,false,false,true,true,true,true,false,true,true
"c20",false,false,false,true,false,true,true,false,false,true,false
"c21",false,false,false,true,false,true,true,false,false,true,true
"c22",false,false,false,true,false,true,true,true,false,true,false
"c23",false,false,false,true,false,true,true,true,false,true,true
"c24",false,false,false,true,true,true,false,false,false,false,false
"c25",false,false,false,true,true,true,false,false,false,false,true
"c26",false,false,false,true,true,true,false,false,false,true,false
"c27",false,false,false,true,true,true,false,false,false,true,true
"c28",false,false,false,true,true,true,false,true,false,false,false
"c29",false,false,false,true,true,true,false,true,false,false,true
"c30",false,false,false,true,true,true,false,true,false,true,false
"c31",false,false,false,true,true,true,false,true,false,true,true
"c32",false,false,false,true,true,true,true,false,false,false,false
"c33",false,false,false,true,true,true,true,false,false,false,true
"c34",false,false,false,true,true,true,true,false,false,true,false
"c35",false,false,false,true,true,true,true,false,false,true,true
"c36",false,false,false,true,true,true,true,true,false,false,false
"c37",false,false,false,true,true,true,true,true,false,false,true
"c38",false,false,false,true,true,true,true,true,false,true,false
"c39",false,false,false,true,true,true,true,true,false,true,true
"c40",false,false,true,false,false,true,true,false,false,true,false
"c41",false,false,true,false,false,true,true,false,false,true,true
"c42",false,false,true,false,true,true,false,false,false,false,false
"c43",false,false,true,false,true,true,false,false,false,false,true
"c44",false,false,true,false,true,true,false,false,false,true,false
"c45",false,false,true,false,true,true,false,false,false,true,true
"c46",false,false,true,false,true,true,true,false,false,false,false
"c47",false,false,true,false,true,true,true,false,false,false,true
"c48",false,false,true,false,true,true,true,false,false,true,false
"c49",false,false,true,false,true,true,true,false,false,true,true
"c50",false,false,true,true,false,true,true,false,false,true,false
"c51",false,false,true,true,false,true,true,false,false,true,true
"c52",false,false,true,true,true,true,false,false,false,false,false
"c53",false,false,true,true,true,true,false,false,false,false,true
"c54",false,false,true,true,true,true,false,false,false,true,false
"c55",false,false,true,true,true,true,false,false,false,true,true
"c56",false,false,true,true,true,true,true,false,false,false,false
"c57",false,false,true,true,true,true,true,false,false,false,true
"c58",false,false,true,true,true,true,true,false,false,true,false
"c59",false,false,true,true,true,true,true,false,false,true,true
"c60",false,true,false,false,false,true,true,false,false,true,false
"c61",false,true,false,false,false,true,true,false,false,true,true
"c62",false,true,false,false,false,true,true,true,false,true,false
"c63",false,true,false,false,false,true,true,true,false,true,true
"c64",false,true,false,false,true,true,false,false,false,false,false
"c65",false,true,false,false,true,true,false,false,false,false,true
"c66",false,true,false,false,true,true,false,false,false,true,false
"c67",false,true,false,false,true,true,false,false,false,true,true
"c68",false,true,false,false,true,true,false,true,false,false,false
"c69",false,true,false,false,true,true,false,true,false,false,true
"c70",false,true,false,false,true,true,false,true,false,true,false
"c71",false,true,false,false,true,true,false,true,false,true,true
"c72",false,true,false,false,true,true,true,false,false,false,false
"c73",false,true,false,false,true,true,true,false,false,false,true
"c74",false,true,false,false,true,true,true,false,false,true,false
"c75",false,true,false,false,true,true,true,false,false,true,true
"c76",false,true,false,false,true,true,true,true,false,false,false
"c77",false,true,false,false,true,true,true,true,false,false,true
"c78",false,true,false,false,true,true,true,true,false,true,false
"c79",false,true,false,false,true,true,true,true,false,true,true
"c80",false,true,true,false,false,true,true,false,false,true,false
"c81",false,true,true,false,false,true,true,false,false,true,true
"c82",false,true,true,false,true,true,false,false,false,false,false
"c83",false,true,true,false,true,true,false,false,false,false,true
"c84",false,true,true,false,true,true,false,false,false,true,false
"c85",false,true,true,false,true,true,false,false,false,true,true
"c86",false,true,true,false,true,true,true,false,false,false,false
"c87",false,true,true,false,true,true,true,false,false,false,true
"c88",false,true,true,false,true,true,true,false,false,true,false
"c89",false,true,true,false,true,true,true,false,false,true,true
"c90",true,false,false,false,false,false,false,false,true,false,false
"c91",true,false,false,false,false,false,false,false,true,false,true
"c92",true,false,false,false,false,false,false,true,true,false,false
"c93",true,false,false,false,false,false,false,true,true,false,true
"c94",true,false,false,false,false,false,true,false,false,false,false
"c95",true,false,false,false,false,false,true,false,false,false,true
"c96",true,false,false,false,false,false,true,false,true,false,false
"c97",true,false,false,false,false,false,true,false,true,false,true
"c98",true,false,false,false,false,false,true,true,false,false,false
"c99",true,false,false,false,false,false,true,true,false,false,true
"c100",true,false,false,false,false,false,true,true,true,false,false
"c101",true,false,false,false,false,false,true,true,true,false,true
"c102",true,false,false,false,false,true,true,false,false,false,false
"c103",true,false,false,false,false,true,true,false,false,false,true
"c104",true,false,false,false,false,true,true,false,false,true,false
"c105",true,false,false,false,false,true,true,false,false,true,true
"c106",true,false,false,false,false,true,true,true,false,false,false
"c107",true,false,false,false,false,true,true,true,false,false,true
"c108",true,false,false,false,false,true,true,true,false,true,false
"c109",true,false,false,false,false,true,true,true,false,true,true
"c110",true,false,false,false,true,true,false,false,false,false,false
"c111",true,false,false,false,true,true,false,false,false,false,true
"c112",true,false,false,false,true,true,false,false,false,true,false
"c113",true,false,false,false,true,true,false,false,false,true,true
"c114",true,false,false,false,true,true,false,true,false,false,false
"c115",true,false,false,false,true,true,false,true,false,false,true
"c116",true,false,false,false,true,true,false,true,false,true,false
"c117",true,false,false,false,true,true,false,true,false,true,true
"c118",true,false,false,false,true,true,true,false,false,false,false
"c119",true,false,false,false,true,true,true,false,false,false,true
"c120",true,false,false,false,true,true,true,false,false,true,false
"c121",true,false,false,false,true,true,true,false,false,true,true
"c122",true,false,false,false,true,true,true,true,false,false,false
"c123",true,false,false,false,true,true,true,true,false,false,true
"c124",true,false,false,false,true,true,true,true,false,true,false
"c125",true,false,false,false,true,true,true,true,false,true,true
"c126",true,false,false,true,false,true,true,false,false,false,false
"c127",true,false,false,true,false,true,true,false,false,false,true
"c128",true,false,false,true,false,true,true,false,false,true,false
"c129",true,false,false,true,false,true,true,false,false,true,true
"c130",true,false,false,true,false,true,true,true,false,false,false
"c131",true,false,false,true,false,true,true,true,false,false,true
"c132",true,false,false,true,false,true,true,true,false,true,false
"c133",true,false,false,true,false,true,true,true,false,true,true
"c134",true,false,false,true,true,true,false,false,false,false,false
"c135",true,false,false,true,true,true,false,false,false,false,true
"c136",true,false,false,true,true,true,false,false,false,true,false
"c137",true,false,false,true,true,true,false,false,false,true,true
"c138",true,false,false,true,true,true,false,true,false,false,false
"c139",true,false,false,true,true,true,false,true,false,false,true
"c140",true,false,false,true,true,true,false,true,false,true,false
"c141",true,false,false,true,true,true,false,true,false,true,true
"c142",true,false,false,true,true,true,true,false,false,false,false
"c143",true,false,false,true,true,true,true,false,false,false,true
"c144",true,false,false,true,true,true,true,false,false,true,false
"c145",true,false,false,true,true,true,true,false,false,true,true
"c146",true,false,false,true,true,true,true,true,false,false,false
"c147",true,false,false,true,true,true,true,true,false,false,true
"c148",true,false,false,true,true,true,true,true,false,true,false
"c149",true,false,false,true,true,true,true,true,false,true,true
"c150",true,false,true,false,false,false,false,false,true,false,true
"c151",true,false,true,false,false,false,true,false,false,false,false
"c152",true,false,true,false,false,false,true,false,false,false,true
"c153",true,false,true,false,false,false,true,false,true,false,true
"c154",true,false,true,false,false,true,true,false,false,false,false
"c155",true,false,true,false,false,true,true,false,false,false,true
"c156",true,false,true,false,false,true,true,false,false,true,false
"c157",true,false,true,false,false,true,true,false,false,true,true
"c158",true,false,true,false,true,true,false,false,false,false,false
"c159",true,false,true,false,true,true,false,false,false,false,true
"c160",true,false,true,false,true,true,false,false,false,true,false
"c161",true,false,true,false,true,true,false,false,false,true,true
"c162",true,false,true,false,true,true,true,false,false,false,false
"c163",true,false,true,false,true,true,true,false,false,false,true
"c164",true,false,true,false,true,true,true,false,false,true,false
"c165",true,false,true,false,true,true,true,false,false,true,true
"c166",true,false,true,true,false,true,true,false,false,false,false
"c167",true,false,true,true,false,true,true,false,false,false,true
"c168",true,false,true,true,false,true,true,false,false,true,false
"c169",true,false,true,true,false,true,true,false,false,true,true
"c170",true,false,true,true,true,true,false,false,false,false,false
"c171",true,false,true,true,true,true,false,false,false,false,true
"c172",true,false,true,true,true,true,false,false,false,true,false
"c173",true,false,true,true,true,true,false,false,false,true,true
"c174",true,false,true,true,true,true,true,false,false,false,false
"c175",true,false,true,true,true,true,true,false,false,false,true
"c176",true,false,true,true,true,true,true,false,false,true,false
"c177",true,false,true,true,true,true,true,false,false,true,true
"c178",true,true,false,false,false,true,true,false,false,false,false
"c179",true,true,false,false,false,true,true,false,false,false,true
"c180",true,true,false,false,false,true,true,false,false,true,false
"c181",true,true,false,false,false,true,true,false,false,true,true
"c182",true,true,false,false,false,true,true,true,false,false,false
"c183",true,true,false,false,false,true,true,true,false,false,true
"c184",true,true,false,false,false,true,true,true,false,true,false
"c185",true,true,false,false,false,true,true,true,false,true,true
"c186",true,true,false,false,true,true,false,false,false,false,false
"c187",true,true,false,false,true,true,false,false,false,false,true
"c188",true,true,false,false,true,true,false,false,false,true,false
"c189",true,true,false,false,true,true,false,false,false,true,true
"c190",true,true,false,false,true,true,false,true,false,false,false
"c191",true,true,false,false,true,true,false,true,false,false,true
"c192",true,true,false,false,true,true,false,true,false,true,false
"c193",true,true,false,false,true,true,false,true,false,true,true
"c194",true,true,false,false,true,true,true,false,false,false,false
"c195",true,true,false,false,true,true,true,false,false,false,true
"c196",true,true,false,false,true,true,true,false,false,true,false
"c197",true,true,false,false,true,true,true,false,false,true,true
"c198",true,true,false,false,true,true,true,true,false,false,false
"c199",true,true,false,false,true,true,true,true,false,false,true
"c200",true,true,false,false,true,true,true,true,false,true,false
"c201",true,true,false,false,true,true,true,true,false,true,true
"c202",true,true,true,false,false,true,true,false,false,false,false
"c203",true,true,true,false,false,true,true,false,false,false,true
"c204",true,true,true,false,false,true,true,false,false,true,false
"c205",true,true,true,false,false,true,true,false,false,true,true
"c206",true,true,true,false,true,true,false,false,false,false,false
"c207",true,true,true,false,true,true,false,false,false,false,true
"c208",true,true,true,false,true,true,false,false,false,true,false
"c209",true,true,true,false,true,true,false,false,false,true,true
"c210",true,true,true,false,true,true,true,false,false,false,false
"c211",true,true,true,false,true,true,true,false,false,false,true
"c212",true,true,true,false,true,true,true,false,false,true,false
"c213",true,true,true,false,true,true,true,false,false,true,true